时间(毫秒),疲劳指数,平滑前原始指数,疲劳等级,闭眼时间占比PERCLOS,闭眼占比是否已就绪(1=是),当前闭合程度(0-1),窗口内最长闭眼(毫秒),当前连续闭眼(毫秒),眨眼频率(次每分),平均眨眼时长(毫秒),哈欠频率(次每分),点头频率(次每分),头部偏离前方占比,眼睛开合度EAR,嘴巴张开度MAR,抬头低头角(度),左右转头角(度),头部倾斜角(度),是否检测到人脸(1=是),数据是否有效(1=是)
18810,0,0,清醒,0.0257,1,0.019,99,0,16.71,92,0,0,0,0.2973,0.0693,0.73,-0.57,-0.87,1,1
19338,0,0,清醒,0.025,1,0.02,99,0,16.23,92,0,0,0,0.2972,0.071,0.92,-0.22,-0.87,1,1
19866,0,0,清醒,0.0243,1,0,99,0,15.78,92,0,0,0,0.3022,0.0691,1.07,0.14,-0.86,1,1
20394,0,0,清醒,0.0236,1,0,99,0,15.36,92,0,0,0,0.3028,0.0634,1.18,0.49,-0.83,1,1
20922,0,0,清醒,0.023,1,0,99,0,14.95,92,0,0,0,0.3025,0.0575,1.24,0.83,-0.79,1,1
21450,0,0,清醒,0.0256,1,0,99,0,17.48,94,0,0,0,0.302,0.0501,1.25,1.16,-0.73,1,1
21978,0,0,清醒,0.025,1,0,99,0,17.05,94,0,0,0,0.302,0.0495,1.21,1.46,-0.67,1,1
22506,0,0,清醒,0.0244,1,0,99,0,16.63,94,0,0,0,0.3019,0.0513,1.11,1.74,-0.6,1,1
23034,0,0,清醒,0.0238,1,0,99,0,16.23,94,0,0,0,0.3007,0.0559,0.98,1.97,-0.51,1,1
23562,0,0,清醒,0.0233,1,0,99,0,15.86,94,0,0,0,0.3002,0.0616,0.8,2.17,-0.42,1,1
24090,0,0,清醒,0.0227,1,0,99,0,15.5,94,0,0,0,0.3006,0.0668,0.59,2.33,-0.32,1,1
24618,0,0,清醒,0.0222,1,0.02,99,0,15.15,94,0,0,0,0.2971,0.0722,0.35,2.43,-0.22,1,1
25146,0,0,清醒,0.0217,1,0,99,0,14.82,94,0,0,0,0.3027,0.0707,0.1,2.49,-0.12,1,1
25674,0,0,清醒,0.0213,1,0,99,0,14.51,94,0,0,0,0.3005,0.069,-0.15,2.5,-0.01,1,1
26202,2.71,3.73,清醒,0.0234,1,0,99,0,16.57,90,0,2.367,0,0.3025,0.47,21.17,4.41,0.17,1,1
26730,3.53,3.62,清醒,0.023,1,0,99,0,16.23,90,0,2.319,0,0.3015,0.7193,-1.13,4.24,0.36,1,1
27258,3.54,3.51,清醒,0.0225,1,0,99,0,15.91,90,0,2.273,0,0.3013,0.8325,-1.5,3.99,0.55,1,1
27786,14.79,17.4,清醒,0.0221,1,0.004,99,0,15.6,90,2.228,2.228,0,0.2995,0.8376,-1.81,3.65,0.73,1,1
28314,16.96,17.18,清醒,0.0216,1,0,99,0,15.3,90,2.185,2.185,0,0.3029,0.7344,-2.04,3.24,0.89,1,1
28842,16.9,16.77,清醒,0.0212,1,0,99,0,15.01,90,2.144,2.144,0,0.3026,0.4993,-2.19,2.76,1.04,1,1
29370,16.54,16.36,清醒,0.0208,1,0.007,99,0,14.73,90,2.104,2.104,0,0.299,0.065,-2.25,2.23,1.18,1,1
29898,16.15,15.97,清醒,0.0205,1,0,99,0,14.46,90,2.066,2.066,0,0.3002,0.0679,-2.22,1.65,1.3,1,1
30426,15.77,15.6,清醒,0.0201,1,0,99,0,14.2,90,2.029,2.029,0,0.301,0.0735,-2.09,1.04,1.4,1,1
30954,15.4,15.24,清醒,0.0209,1,1,99,33,13.96,90,1.994,1.994,0,0.0705,0.0696,-1.88,0.41,1.48,1,1
31482,16.77,18.69,清醒,0.0374,1,0.019,528,0,13.71,90,1.959,1.959,0,0.2974,0.0678,-1.59,-0.23,1.53,1,1
32010,18.24,18.35,清醒,0.0341,1,0,528,0,13.48,90,1.926,1.926,0,0.3019,0.0597,-1.24,-0.87,1.57,1,1
32538,18.14,18.02,清醒,0.0341,1,0,528,0,13.26,90,1.894,1.894,0,0.3021,0.0516,-0.84,-1.49,1.57,1,1
33066,17.85,17.71,清醒,0.0341,1,0,528,0,13.04,90,1.863,1.863,0,0.3018,0.0487,-0.4,-2.08,1.56,1,1
33594,17.54,17.4,清醒,0.0341,1,0,528,0,12.83,90,1.833,1.833,0,0.3017,0.0479,0.05,-2.62,1.52,1,1
34122,17.24,17.11,清醒,0.0341,1,0.005,528,0,12.63,90,1.804,1.804,0,0.2992,0.0511,0.51,-3.12,1.46,1,1
34650,16.95,16.82,清醒,0.0396,1,0,528,0,14.2,99,1.776,1.776,0,0.3004,0.0584,0.94,-3.55,1.38,1,1
35178,16.67,16.54,清醒,0.0363,1,0.012,528,0,13.99,99,1.748,1.748,0,0.2983,0.0632,1.33,-3.91,1.28,1,1
35706,16.4,16.28,清醒,0.0363,1,0,528,0,13.77,99,1.722,1.722,0,0.3013,0.0698,1.67,-4.18,1.15,1,1
36234,16.13,16.01,清醒,0.0363,1,0.019,528,0,13.57,99,1.696,1.696,0,0.2973,0.0738,1.94,-4.38,1.01,1,1
36762,15.88,15.76,清醒,0.0418,1,0.002,528,0,15.04,106,1.671,1.671,0,0.2997,0.0703,2.13,-4.48,0.86,1,1
37290,15.63,15.51,清醒,0.0418,1,0,528,0,14.82,106,1.647,1.647,0,0.3015,0.0632,2.23,-4.49,0.69,1,1
37818,15.39,15.28,清醒,0.0418,1,0,528,0,14.61,106,1.623,1.623,0,0.3025,0.0575,2.24,-4.42,0.51,1,1
38346,15.15,15.04,清醒,0.0418,1,0.001,528,0,14.4,106,1.601,1.601,0,0.2998,0.0524,2.16,-4.25,0.32,1,1
38874,14.92,14.82,清醒,0.0385,1,0,528,0,14.2,106,1.578,1.578,0,0.302,0.0489,1.99,-3.99,0.13,1,1
39402,14.7,14.6,清醒,0.0385,1,0,528,0,14.01,106,1.557,1.557,0,0.3027,0.0472,1.74,-3.66,-0.06,1,1
39930,14.48,14.38,清醒,0.044,1,0,528,0,15.36,112,1.536,1.536,0,0.3023,0.0544,1.42,-3.25,-0.25,1,1
40458,14.27,14.18,清醒,0.044,1,0.003,528,0,15.15,112,1.515,1.515,0,0.2996,0.0603,1.03,-2.77,-0.44,1,1
40986,14.07,13.97,清醒,0.044,1,0.012,528,0,14.95,112,1.495,1.495,0,0.2983,0.0652,0.61,-2.24,-0.62,1,1
41514,13.87,13.78,清醒,0.044,1,0,528,0,14.76,112,1.476,1.476,0,0.3016,0.0723,0.16,-1.66,-0.8,1,1
42042,13.67,13.58,清醒,0.044,1,0,528,0,14.57,112,1.457,1.457,0,0.3004,0.0713,-0.3,-1.05,-0.96,1,1
42570,13.48,13.4,清醒,0.0473,1,0.019,528,0,15.82,117,1.438,1.438,0,0.2973,0.0692,-0.74,-0.42,-1.1,1,1
43098,13.3,13.21,清醒,0.0473,1,0.014,528,0,15.63,117,1.42,1.42,0,0.298,0.0627,-1.15,0.22,-1.23,1,1
43626,13.12,13.04,清醒,0.0473,1,0.004,528,0,15.43,117,1.403,1.403,0,0.2995,0.054,-1.52,0.86,-1.34,1,1
44154,12.94,12.86,清醒,0.0539,1,0,528,0,16.63,124,1.386,1.386,0,0.3,0.0513,-1.82,1.48,-1.43,1,1
44682,12.77,12.69,清醒,0.0539,1,0,528,0,16.43,124,1.369,1.369,0,0.3024,0.0496,-2.05,2.07,-1.5,1,1
45210,12.6,12.53,清醒,0.0539,1,0.007,528,0,16.23,124,1.353,1.353,0,0.2991,0.3352,-2.2,2.62,-1.55,1,1
45738,12.44,12.37,清醒,0.0539,1,0.02,528,0,16.04,124,1.337,1.337,0,0.2972,0.6432,-2.25,3.11,-1.57,1,1
46266,12.34,12.52,清醒,0.0627,1,1,528,363,15.86,124,1.321,1.321,0,0.0552,0.7984,-2.21,3.54,-1.57,1,1
46794,19.26,22.66,清醒,0.0726,1,0,660,0,15.67,124,2.612,1.306,0,0.3019,0.8516,-2.08,3.9,-1.55,1,1
47322,22.2,22.62,清醒,0.0726,1,0.018,660,0,15.5,124,2.583,1.291,0,0.2975,0.8032,-1.87,4.18,-1.5,1,1
47850,22.55,22.59,清醒,0.0726,1,0,660,0,15.32,124,2.554,1.277,0,0.3008,0.6565,-1.58,4.37,-1.43,1,1
48378,22.56,22.56,清醒,0.0726,1,0,660,0,15.15,124,2.525,1.263,0,0.3002,0.3558,-1.22,4.48,-1.34,1,1
48906,22.54,22.52,清醒,0.0726,1,0,660,0,14.99,124,2.498,1.249,0,0.3027,0.062,-0.81,4.49,-1.23,1,1
49434,22.92,23,清醒,0.077,1,0.009,660,0,16.06,124,2.47,1.235,0,0.2987,0.0531,-0.37,4.42,-1.1,1,1
49962,22.97,22.97,清醒,0.077,1,0.01,660,0,15.88,124,2.444,1.222,0,0.2985,0.0506,0.08,4.25,-0.95,1,1
50490,22.95,22.94,清醒,0.077,1,0,660,0,15.72,124,2.418,1.209,0,0.3023,0.0501,0.53,4,-0.79,1,1
51018,22.92,22.9,清醒,0.077,1,0,660,0,15.55,124,2.392,1.196,0,0.303,0.0521,0.96,3.66,-0.62,1,1
51546,22.73,22.62,清醒,0.0748,1,0.003,660,0,15.39,124,2.367,1.184,0,0.2996,0.058,1.35,3.25,-0.43,1,1
52074,22.94,23.35,清醒,0.0814,1,0,660,0,16.4,130,2.343,1.172,0,0.3023,0.0651,1.69,2.78,-0.24,1,1
52602,24.59,26.09,清醒,0.0814,1,0.006,660,0,16.23,130,2.319,2.319,0,0.2992,0.0711,18.28,2.25,-0.05,1,1
53130,25.86,26.03,清醒,0.0814,1,0,660,0,16.07,130,2.296,2.296,0,0.3008,0.071,2.14,1.67,0.14,1,1
53658,25.98,25.98,清醒,0.0814,1,0.014,660,0,15.91,130,2.273,2.273,0,0.298,0.069,2.24,1.06,0.33,1,1
54186,25.94,25.92,清醒,0.0814,1,0.006,660,0,15.75,130,2.25,2.25,0,0.2992,0.0639,2.24,0.43,0.52,1,1
54714,26.41,26.5,清醒,0.0869,1,0,660,0,16.71,132,2.228,2.228,0,0.3019,0.0588,2.15,-0.21,0.7,1,1
55242,26.46,26.45,清醒,0.0869,1,0.009,660,0,16.55,132,2.207,2.207,0,0.2987,0.0513,1.98,-0.85,0.86,1,1
55770,26.32,26.05,清醒,0.0848,1,0,660,0,16.39,132,2.185,2.185,0,0.3003,0.0501,1.72,-1.47,1.02,1,1
56298,25.94,25.82,清醒,0.0847,1,0.003,660,0,16.23,132,2.165,2.165,0,0.2996,0.048,1.39,-2.06,1.16,1,1
56826,26.19,26.25,清醒,0.0902,1,0.011,660,0,17.15,134,2.144,2.144,0,0.2984,0.0517,1.01,-2.61,1.28,1,1
57354,26.12,26.05,清醒,0.0902,1,0,660,0,16.99,134,2.124,2.124,0,0.3027,0.0596,0.58,-3.1,1.38,1,1
57882,25.94,25.85,清醒,0.0902,1,0.014,660,0,16.84,134,2.104,2.104,0,0.298,0.0644,0.13,-3.54,1.47,1,1
58410,26.02,26.16,清醒,0.0946,1,0,660,0,17.72,134,2.085,2.085,0,0.3006,0.0694,-0.32,-3.9,1.52,1,1
58938,26.02,25.97,清醒,0.0946,1,0,660,0,17.56,134,2.066,2.066,0,0.3019,0.0714,-0.77,-4.18,1.56,1,1
59466,25.86,25.78,清醒,0.0946,1,0.013,660,0,17.4,134,2.048,2.048,0,0.2982,0.0673,-1.18,-4.37,1.57,1,1
59994,25.68,25.59,清醒,0.0946,1,0,660,0,17.25,134,2.029,2.029,0,0.3024,0.0644,-1.54,-4.48,1.56,1,1
60522,25.49,25.41,清醒,0.0946,1,0.001,660,0,17.1,134,2.011,2.011,0,0.2999,0.0574,-1.84,-4.5,1.53,1,1
61050,25.2,24.8,清醒,0.0903,1,0.006,660,0,17,134,2,2,0,0.2992,0.0492,-2.06,-4.42,1.47,1,1
61578,24.36,24.53,清醒,0.088,1,1,660,330,17,134,2,2,0,0.0578,0.0489,-2.2,-4.25,1.39,1,1
62106,25.13,25.29,清醒,0.0946,1,0.004,660,0,16,136,2,2,0,0.2994,0.0492,-2.25,-4,1.29,1,1
62634,25.27,25.29,清醒,0.0946,1,0.01,660,0,16,136,2,2,0,0.2985,0.053,-2.21,-3.67,1.17,1,1
63162,25.29,25.29,清醒,0.0946,1,0,660,0,16,136,2,2,0,0.3003,0.062,-3.22,-5.07,1.61,1,1
63690,25.67,26.06,清醒,0.1012,1,0,660,0,17,140,2,2,0,0.301,0.0661,-2.88,-4.34,1.38,1,1
64218,26.01,26.06,清醒,0.1012,1,0.012,660,0,17,140,2,2,0,0.2983,0.0711,-2.42,-3.51,1.12,1,1
64746,25.68,25.42,清醒,0.0957,1,0.003,660,0,17,140,2,2,0,0.2996,0.0726,-1.86,-2.61,0.84,1,1
65274,25.45,25.42,清醒,0.0957,1,0.019,660,0,16,142,2,2,0,0.2974,0.0663,-1.22,-1.66,0.55,1,1
65802,25.43,25.42,清醒,0.0957,1,0,660,0,16,142,2,2,0,0.3003,0.0609,-0.54,-0.68,0.26,1,1
66330,26,26.18,清醒,0.1023,1,0,660,0,17,146,2,2,0,0.3022,0.0582,0.17,0.32,-0.04,1,1
66858,25.63,25.55,清醒,0.0968,1,0,660,0,17,146,2,2,0,0.3029,0.6155,0.87,1.31,-0.34,1,1
67386,25.56,25.55,清醒,0.0968,1,0.01,660,0,17,146,2,2,0,0.2986,0.8034,1.54,2.27,-0.64,1,1
67914,26.17,27.1,清醒,0.0968,1,0.004,660,0,17,146,3,2,0,0.2995,0.8485,2.14,3.19,-0.92,1,1
68442,26.98,27.1,清醒,0.0968,1,0,660,0,17,146,3,2,0,0.3029,0.753,2.65,4.05,-1.19,1,1
68970,28.09,28.88,清醒,0.1122,1,1,660,462,16,149,3,2,0,0.0533,0.5021,3.06,4.82,-1.45,1,1
69498,32.59,36.41,清醒,0.1298,1,1,990,990,16,149,3,2,0,0.0521,0.07,3.34,5.49,-1.68,1,1
70026,41.52,39.16,中度疲劳,0.1298,1,0.001,1155,0,16,149,3,2,0,0.2999,0.0726,3.48,6.05,-1.88,1,1
70554,39.47,39.16,中度疲劳,0.1298,1,0.019,1155,0,16,149,3,2,0,0.2974,0.0711,3.48,6.49,-2.06,1,1
71082,39.2,39.16,中度疲劳,0.1298,1,0,1155,0,16,149,3,2,0,0.3027,0.066,3.34,6.8,-2.21,1,1
71610,39.17,39.16,中度疲劳,0.1298,1,0,1155,0,16,149,3,2,0,0.2999,0.0583,3.06,6.97,-2.32,1,1
72138,39.12,38.92,中度疲劳,0.1277,1,0,1155,0,16,149,3,2,0,0.3014,0.053,2.65,6.99,-2.4,1,1
72666,38.61,38.53,中度疲劳,0.1243,1,0,1155,0,15,154,3,2,0,0.3002,0.0488,2.13,6.88,-2.44,1,1
73194,39.43,40.18,中度疲劳,0.1386,1,1,1155,429,15,154,3,2,0,0.0549,0.0493,1.53,6.62,-2.45,1,1
73722,41.3,42.21,中度疲劳,0.1562,1,1,1155,957,15,154,3,2,0,0.0522,0.0507,0.86,6.23,-2.42,1,1
74250,45.62,43.56,中度疲劳,0.1584,1,0.014,1221,0,15,154,3,2,0,0.2981,0.0582,0.16,5.72,-2.35,1,1
74778,43.83,43.56,中度疲劳,0.1584,1,0.02,1221,0,15,154,3,2,0,0.2972,0.0651,-0.55,5.08,-2.25,1,1
75306,43.6,43.56,中度疲劳,0.1584,1,0,1221,0,15,154,3,2,0,0.3025,0.072,-1.23,4.35,-2.11,1,1
75834,43.57,43.56,轻度疲劳,0.1584,1,0.017,1221,0,15,154,3,2,0,0.2976,0.0704,-1.87,3.52,-1.94,1,1
76362,43.47,43.45,轻度疲劳,0.1574,1,1,1221,429,14,158,3,2,0,0.0561,0.0705,-2.43,2.63,-1.74,1,1
76890,45.85,46.32,轻度疲劳,0.1617,1,0.02,1221,0,14,158,3,3,0,0.2973,0.0655,7,1.68,-1.52,1,1
77418,46.26,46.32,轻度疲劳,0.1617,1,0.005,1221,0,14,158,3,3,0,0.2992,0.057,-3.23,0.69,-1.27,1,1
77946,46.31,46.32,轻度疲劳,0.1617,1,0.005,1221,0,14,158,3,3,0,0.2993,0.051,-3.43,-0.3,-1,1,1
78474,46.32,46.32,轻度疲劳,0.1617,1,0.021,1221,0,14,158,3,3,0,0.2971,0.0478,-3.5,-1.3,-0.72,1,1
79002,46.28,46.08,轻度疲劳,0.1596,1,0,1221,0,14,158,3,3,0,0.303,0.0501,-3.42,-2.26,-0.43,1,1
79530,45.88,45.82,轻度疲劳,0.1573,1,0.02,1221,0,14,158,3,3,0,0.2972,0.0536,-3.21,-3.18,-0.13,1,1
80058,46.42,46.7,轻度疲劳,0.165,1,0,1221,0,15,163,3,3,0,0.3003,0.0597,-2.86,-4.03,0.17,1,1
80586,46.67,46.7,轻度疲劳,0.165,1,0.021,1221,0,15,163,3,3,0,0.2971,0.0658,-2.39,-4.81,0.47,1,1
81114,46.7,46.7,轻度疲劳,0.165,1,0.008,1221,0,15,163,3,3,0,0.2988,0.0709,-1.82,-5.48,0.76,1,1
81642,46.7,46.7,轻度疲劳,0.165,1,0.01,1221,0,14,167,3,3,0,0.2986,0.0713,-1.18,-6.05,1.04,1,1
82170,46.38,46.45,轻度疲劳,0.1628,1,1,1221,132,14,167,3,3,0,0.0522,0.0692,-0.5,-6.49,1.3,1,1
82698,47.66,48.48,轻度疲劳,0.1804,1,1,1221,660,14,167,3,3,0,0.052,0.0604,0.21,-6.79,1.55,1,1
83226,50.08,50.26,中度疲劳,0.1958,1,0.016,1221,0,14,167,3,3,0,0.2977,0.0571,0.91,-6.96,1.77,1,1
83754,50.23,50.26,中度疲劳,0.1958,1,0,1221,0,14,167,3,3,0,0.3022,0.049,1.58,-6.99,1.96,1,1
84282,50.21,50.02,中度疲劳,0.1937,1,0.016,1221,0,14,167,3,3,0,0.2977,0.0493,2.17,-6.88,2.13,1,1
84810,49.71,49.62,中度疲劳,0.1903,1,0,1221,0,14,167,3,3,0,0.3023,0.0506,2.68,-6.63,2.26,1,1
85338,49.63,49.62,中度疲劳,0.1903,1,0,1221,0,14,167,3,3,0,0.3011,0.056,3.08,-6.24,2.36,1,1
85866,50.04,50.64,中度疲劳,0.1991,1,1,1221,264,13,175,3,3,0,0.0553,0.0634,3.35,-5.72,2.42,1,1
86394,49.75,50.29,中度疲劳,0.2167,1,1,1221,792,13,175,3,2,0,0.0539,0.0682,3.49,-5.09,2.45,1,1
86922,50.02,50.03,中度疲劳,0.2145,1,0.004,1221,0,13,175,3,2,0,0.2994,0.0734,3.48,-4.36,2.44,1,1
87450,49.68,48.48,中度疲劳,0.2145,1,0,1221,0,13,175,2,2,0,0.3004,0.0708,3.32,-3.54,2.39,1,1
87978,48.63,48.48,中度疲劳,0.2145,1,0.002,1221,0,13,175,2,2,0,0.2997,0.4118,3.04,-2.64,2.31,1,1
88506,48.15,47.97,中度疲劳,0.2101,1,0.015,1221,0,13,175,2,2,0,0.2979,0.7352,2.62,-1.69,2.19,1,1
89034,47.99,47.97,中度疲劳,0.2101,1,0.012,1221,0,13,175,2,2,0,0.2983,0.8477,2.1,-0.71,2.04,1,1
89562,49.84,50.92,中度疲劳,0.2222,1,1,1221,363,13,175,3,2,0,0.0579,0.7919,1.49,0.29,1.86,1,1
90090,51.87,52.45,中度疲劳,0.2354,1,0.001,1221,0,13,175,3,2,0,0.2999,0.5489,0.82,1.28,1.65,1,1
90618,52.37,52.45,中度疲劳,0.2354,1,0.018,1221,0,13,175,3,2,0,0.2975,0.0519,0.12,2.25,1.42,1,1
91146,52.44,52.45,中度疲劳,0.2354,1,0.008,1221,0,13,175,3,2,0,0.2989,0.059,-0.59,3.17,1.16,1,1
91674,51.56,50.81,中度疲劳,0.2212,1,0,1221,0,13,175,3,2,0,0.3004,0.0653,-1.27,4.02,0.89,1,1
92202,50.57,50.41,中度疲劳,0.2178,1,0.018,1221,0,13,175,3,2,0,0.2975,0.0716,-1.9,4.8,0.6,1,1
92730,50.43,50.41,中度疲劳,0.2178,1,0,1221,0,13,175,3,2,0,0.3018,0.0716,-2.46,5.47,0.31,1,1
93258,50.46,50.67,中度疲劳,0.22,1,1,1221,66,13,175,3,2,0,0.0521,0.0688,-2.91,6.04,0.01,1,1
93786,51.37,51.94,中度疲劳,0.231,1,1,1221,594,13,175,3,2,0,0.0549,0.0665,-3.24,6.48,-0.29,1,1
94314,53.07,53.84,中度疲劳,0.2475,1,0.015,1221,0,13,175,3,2,0,0.2979,0.0579,-3.44,6.79,-0.59,1,1
94842,53.74,53.84,中度疲劳,0.2475,1,0.019,1221,0,12,176,3,2,0,0.2973,0.0512,-3.5,6.96,-0.88,1,1
95370,53.83,53.84,中度疲劳,0.2475,1,0,1221,0,12,176,3,2,0,0.3009,0.0477,-3.41,6.99,-1.15,1,1
95898,53.83,53.73,中度疲劳,0.2465,1,0,1221,0,12,176,3,2,0,0.3015,0.0491,-3.19,6.88,-1.41,1,1
96426,54.73,55.46,中度疲劳,0.2409,1,0.02,1221,0,12,176,3,3,0,0.2972,0.0538,18.57,6.63,-1.64,1,1
96954,56.41,56.71,中度疲劳,0.2409,1,0.844,1221,0,11,177,3,3,0,0.158,0.0598,-2.36,6.25,-1.85,1,1
97482,57.89,58.74,中度疲劳,0.2585,1,1,1221,528,11,177,3,3,0,0.057,0.0648,-1.79,5.73,-2.03,1,1
98010,59.66,60.14,中度疲劳,0.2706,1,0.021,1221,0,11,177,3,3,0,0.2971,0.0718,-1.14,5.1,-2.19,1,1
98538,60.06,60.02,中度疲劳,0.2696,1,0,1221,0,11,177,3,3,0,0.3026,0.0711,-0.45,4.37,-2.31,1,1
99066,58.81,57.99,中度疲劳,0.252,1,0.001,1221,0,11,177,3,3,0,0.2998,0.0705,0.26,3.55,-2.39,1,1
99594,56.88,55.96,中度疲劳,0.2344,1,0.003,1221,0,11,177,3,3,0,0.2996,0.0629,0.95,2.65,-2.44,1,1
100122,56.79,56.95,中度疲劳,0.2321,1,0.008,1221,0,10,178,3,3,0,0.2989,0.0544,1.61,1.71,-2.45,1,1
100650,56.93,56.95,中度疲劳,0.2321,1,0.021,1221,0,10,178,3,3,0,0.2971,0.0519,2.21,0.72,-2.42,1,1
101178,56.94,56.95,中度疲劳,0.2321,1,0,1221,0,10,178,3,3,0,0.301,0.0492,2.71,-0.27,-2.36,1,1
101706,56.84,56.58,中度疲劳,0.2398,1,0.005,1221,0,11,183,3,3,0,0.2992,0.0513,3.1,-1.27,-2.27,1,1
102234,56.62,56.58,中度疲劳,0.2398,1,0,1221,0,11,183,3,3,0,0.3008,0.055,3.36,-2.23,-2.13,1,1
102762,57.68,57.83,中度疲劳,0.2398,1,0,1221,0,10,185,3,3,0,0.3022,0.0604,3.49,-3.15,-1.97,1,1
103290,57.64,57.1,中度疲劳,0.2223,1,0,1155,0,10,185,3,4,0,0.3016,0.0675,15.35,-6.87,-3.05,1,1
103818,56.28,55.95,中度疲劳,0.2124,1,1,1155,231,10,185,3,4,0,0.0549,0.071,16.1,-8.2,-2.67,1,1
